,waldStat_1,df_1,pvalue_1,fdr_1,gene_id
Potri.019G072800,685.2649626,8,0,0,Potri.019G072800
Potri.003G132000,676.4950418,8,0,0,Potri.003G132000
Potri.008G152200,671.4580793,8,0,0,Potri.008G152200
Potri.014G035800,670.9892545,8,0,0,Potri.014G035800
Potri.014G029900,668.1327157,8,0,0,Potri.014G029900
Potri.008G038900,658.6017511,8,0,0,Potri.008G038900
Potri.001G443200,647.9373777,8,0,0,Potri.001G443200
Potri.003G100200,645.801056,8,0,0,Potri.003G100200
Potri.011G116300,641.1403946,8,0,0,Potri.011G116300
Potri.006G052600,638.9915441,8,0,0,Potri.006G052600
Potri.007G131300,634.1551208,8,0,0,Potri.007G131300
Potri.010G036200,632.1135173,8,0,0,Potri.010G036200
Potri.017G059300,630.7015372,8,0,0,Potri.017G059300
Potri.007G087200,627.1273302,8,0,0,Potri.007G087200
Potri.014G076800,626.6928536,8,0,0,Potri.014G076800
Potri.002G240900,624.8640589,8,0,0,Potri.002G240900
Potri.006G220700,624.6095059,8,0,0,Potri.006G220700
Potri.015G142000,611.3003846,8,0,0,Potri.015G142000
Potri.003G183700,611.2070854,8,0,0,Potri.003G183700
Potri.006G123200,606.8012841,8,0,0,Potri.006G123200
Potri.017G083000,604.7375057,8,0,0,Potri.017G083000
Potri.009G011000,600.3076928,8,0,0,Potri.009G011000
Potri.013G031400,600.0628134,8,0,0,Potri.013G031400
Potri.014G040300,597.3713728,8,0,0,Potri.014G040300
Potri.008G069000,590.0638481,8,0,0,Potri.008G069000
Potri.003G120600,589.7526448,8,0,0,Potri.003G120600
Potri.016G006200,588.8016734,8,0,0,Potri.016G006200
Potri.009G087200,586.3075869,8,0,0,Potri.009G087200
Potri.010G216200,585.038277,8,0,0,Potri.010G216200
Potri.011G136700,585.0033695,8,0,0,Potri.011G136700
Potri.011G094800,584.8190824,8,0,0,Potri.011G094800
Potri.009G068600,583.5705595,8,0,0,Potri.009G068600
Potri.001G025100,580.9501994,8,0,0,Potri.001G025100
Potri.015G033600,580.8288688,8,0,0,Potri.015G033600
Potri.007G011900,580.3416391,8,0,0,Potri.007G011900
Potri.017G057900,579.3338723,8,0,0,Potri.017G057900
Potri.013G078500,573.5904743,8,0,0,Potri.013G078500
Potri.011G153700,567.5986595,8,0,0,Potri.011G153700
Potri.001G448400,564.240787,8,0,0,Potri.001G448400
Potri.008G088300,562.4272446,8,0,0,Potri.008G088300
Potri.001G320500,561.2173795,8,0,0,Potri.001G320500
Potri.014G024700,561.1183133,8,0,0,Potri.014G024700
Potri.005G137500,559.1791734,8,0,0,Potri.005G137500
Potri.012G065750,558.4719132,8,0,0,Potri.012G065750
Potri.004G126800,550.3950995,8,0,0,Potri.004G126800
Potri.014G103600,550.2563878,8,0,0,Potri.014G103600
Potri.013G152400,548.1760595,8,0,0,Potri.013G152400
Potri.011G132600,544.2603368,8,0,0,Potri.011G132600
Potri.003G181400,543.72722,8,0,0,Potri.003G181400
Potri.001G028100,543.2605008,8,0,0,Potri.001G028100
Potri.010G105900,541.1208934,8,0,0,Potri.010G105900
Potri.003G162100,541.0118991,8,0,0,Potri.003G162100
Potri.002G146400,539.7881515,8,0,0,Potri.002G146400
Potri.017G059400,537.573297,8,0,0,Potri.017G059400
Potri.008G029800,535.6476315,8,0,0,Potri.008G029800
Potri.018G068700,535.1346039,8,0,0,Potri.018G068700
Potri.004G159300,529.3704883,8,0,0,Potri.004G159300
Potri.005G070400,528.817018,8,0,0,Potri.005G070400
Potri.005G024100,527.0551195,8,0,0,Potri.005G024100
Potri.019G038352,526.6031181,8,0,0,Potri.019G038352
Potri.001G158900,525.0576261,8,0,0,Potri.001G158900
Potri.015G075300,523.7365712,8,0,0,Potri.015G075300
Potri.001G432680,522.8382885,8,0,0,Potri.001G432680
Potri.015G135500,521.7281121,8,0,0,Potri.015G135500
Potri.005G115300,520.3412509,8,0,0,Potri.005G115300
Potri.009G163700,520.1193035,8,0,0,Potri.009G163700
Potri.005G021000,518.7667794,8,0,0,Potri.005G021000
Potri.001G407000,518.4647231,8,0,0,Potri.001G407000
Potri.014G013600,518.0005894,8,0,0,Potri.014G013600
Potri.002G072200,516.6562627,8,0,0,Potri.002G072200
Potri.008G170800,514.5715337,8,0,0,Potri.008G170800
Potri.013G060500,513.7436187,8,0,0,Potri.013G060500
Potri.006G003000,512.8817299,8,0,0,Potri.006G003000
Potri.016G071500,512.8491723,8,0,0,Potri.016G071500
Potri.010G003300,511.9560443,8,0,0,Potri.010G003300
Potri.012G049300,508.8773262,8,0,0,Potri.012G049300
Potri.018G091600,507.4882839,8,0,0,Potri.018G091600
Potri.007G007400,506.6314607,8,0,0,Potri.007G007400
Potri.003G101600,503.3559273,8,0,0,Potri.003G101600
Potri.010G188100,502.1970095,8,0,0,Potri.010G188100
Potri.006G005600,500.6267285,8,0,0,Potri.006G005600
Potri.002G029100,497.4996474,8,0,0,Potri.002G029100
Potri.008G105300,495.8494407,8,0,0,Potri.008G105300
Potri.012G123700,495.7481436,8,0,0,Potri.012G123700
Potri.009G053900,493.7803086,8,0,0,Potri.009G053900
Potri.008G020900,493.6597377,8,0,0,Potri.008G020900
Potri.005G168600,491.779124,8,0,0,Potri.005G168600
Potri.005G021100,490.6370943,8,0,0,Potri.005G021100
Potri.019G002100,488.009612,8,0,0,Potri.019G002100
Potri.018G083200,486.094085,8,0,0,Potri.018G083200
Potri.004G009600,484.2279228,8,0,0,Potri.004G009600
Potri.006G096900,483.6405616,8,0,0,Potri.006G096900
Potri.002G168100,481.007679,8,0,0,Potri.002G168100
Potri.001G024300,478.1559296,8,0,0,Potri.001G024300
Potri.006G129200,477.9067757,8,0,0,Potri.006G129200
Potri.015G056000,477.6937756,8,0,0,Potri.015G056000
Potri.005G188700,477.2659086,8,0,0,Potri.005G188700
Potri.001G227000,476.9965164,8,0,0,Potri.001G227000
Potri.002G031000,476.9371096,8,0,0,Potri.002G031000
Potri.004G143300,476.0142731,8,0,0,Potri.004G143300
Potri.008G092700,475.2300972,8,0,0,Potri.008G092700
Potri.003G177700,474.6979317,8,0,0,Potri.003G177700
Potri.005G086400,474.6662916,8,0,0,Potri.005G086400
Potri.001G120300,473.6782981,8,0,0,Potri.001G120300
Potri.002G239500,470.3499603,8,0,0,Potri.002G239500
Potri.006G086000,470.0187078,8,0,0,Potri.006G086000
Potri.011G066100,469.2200043,8,0,0,Potri.011G066100
Potri.009G027300,466.7664693,8,0,0,Potri.009G027300
Potri.015G099500,466.7080917,8,0,0,Potri.015G099500
Potri.008G203400,466.7035355,8,0,0,Potri.008G203400
Potri.015G071500,466.4244012,8,0,0,Potri.015G071500
Potri.003G003801,465.9699225,8,0,0,Potri.003G003801
Potri.005G187500,465.8919807,8,0,0,Potri.005G187500
Potri.006G116800,465.1645592,8,0,0,Potri.006G116800
Potri.017G119900,464.3525524,8,0,0,Potri.017G119900
Potri.002G239400,462.7326492,8,0,0,Potri.002G239400
Potri.012G088300,462.411184,8,0,0,Potri.012G088300
Potri.002G040600,462.1797605,8,0,0,Potri.002G040600
Potri.014G082100,461.6152614,8,0,0,Potri.014G082100
Potri.001G228100,461.0564456,8,0,0,Potri.001G228100
Potri.018G119500,460.2672874,8,0,0,Potri.018G119500
Potri.014G175200,460.0594202,8,0,0,Potri.014G175200
Potri.014G109200,459.0362261,8,0,0,Potri.014G109200
Potri.005G215400,458.8374182,8,0,0,Potri.005G215400
Potri.004G118600,458.7118798,8,0,0,Potri.004G118600
Potri.011G087500,455.0654438,8,0,0,Potri.011G087500
Potri.002G162900,454.8303683,8,0,0,Potri.002G162900
Potri.007G045300,454.335539,8,0,0,Potri.007G045300
Potri.003G124400,452.9720127,8,0,0,Potri.003G124400
Potri.010G121800,450.588148,8,0,0,Potri.010G121800
Potri.003G114100,448.4576476,8,0,0,Potri.003G114100
Potri.010G198800,446.0940948,8,0,0,Potri.010G198800
Potri.001G332300,443.2099418,8,0,0,Potri.001G332300
Potri.010G220700,443.0796223,8,0,0,Potri.010G220700
Potri.005G207000,437.409433,8,0,0,Potri.005G207000
Potri.003G164200,435.7735134,8,0,0,Potri.003G164200
Potri.002G233400,434.5266153,8,0,0,Potri.002G233400
Potri.006G099600,434.4303616,8,0,0,Potri.006G099600
Potri.006G143800,433.353728,8,0,0,Potri.006G143800
Potri.006G036400,431.562376,8,0,0,Potri.006G036400
Potri.003G003300,430.3192419,8,0,0,Potri.003G003300
Potri.004G203400,429.2288651,8,0,0,Potri.004G203400
Potri.012G126000,428.2707092,8,0,0,Potri.012G126000
Potri.004G013900,422.5898987,8,0,0,Potri.004G013900
Potri.005G243000,420.2803904,8,0,0,Potri.005G243000
Potri.011G132800,419.4132863,8,0,0,Potri.011G132800
Potri.001G444500,419.0532058,8,0,0,Potri.001G444500
Potri.002G104300,418.8940793,8,0,0,Potri.002G104300
Potri.008G124000,417.6728164,8,0,0,Potri.008G124000
Potri.007G046700,416.8312099,8,0,0,Potri.007G046700
Potri.011G156100,414.9584514,8,0,0,Potri.011G156100
Potri.003G143200,413.9924461,8,0,0,Potri.003G143200
Potri.002G122000,413.4560621,8,0,0,Potri.002G122000
Potri.006G279600,410.809667,8,0,0,Potri.006G279600
Potri.015G106000,407.5245406,8,0,0,Potri.015G106000
Potri.008G179700,407.3988584,8,0,0,Potri.008G179700
Potri.007G139300,407.2646435,8,0,0,Potri.007G139300
Potri.001G175000,404.8268029,8,0,0,Potri.001G175000
Potri.013G150500,404.4870184,8,0,0,Potri.013G150500
Potri.012G071100,402.0276002,8,0,0,Potri.012G071100
Potri.001G304200,400.092046,8,0,0,Potri.001G304200
Potri.014G109900,399.5621406,8,0,0,Potri.014G109900
Potri.002G250000,399.0974946,8,0,0,Potri.002G250000
Potri.010G003100,398.6604103,8,0,0,Potri.010G003100
Potri.005G237100,396.9302515,8,0,0,Potri.005G237100
Potri.001G370800,396.2262668,8,0,0,Potri.001G370800
Potri.014G004500,395.9302409,8,0,0,Potri.014G004500
Potri.002G223100,392.5156174,8,0,0,Potri.002G223100
Potri.010G249600,392.4499861,8,0,0,Potri.010G249600
Potri.008G049000,391.5677397,8,0,0,Potri.008G049000
Potri.001G320800,391.3733438,8,0,0,Potri.001G320800
Potri.011G057500,390.6588314,8,0,0,Potri.011G057500
Potri.018G083700,389.8892333,8,0,0,Potri.018G083700
Potri.001G061600,389.556245,8,0,0,Potri.001G061600
Potri.006G065700,387.6774082,8,0,0,Potri.006G065700
Potri.013G041300,387.5532162,8,0,0,Potri.013G041300
Potri.016G045500,386.8662571,8,0,0,Potri.016G045500
Potri.001G472800,385.1457256,8,0,0,Potri.001G472800
Potri.T011200,384.7813631,8,0,0,Potri.T011200
Potri.002G124100,378.7713316,8,0,0,Potri.002G124100
Potri.005G236200,378.4202977,8,0,0,Potri.005G236200
Potri.010G088200,378.0524781,8,0,0,Potri.010G088200
