,waldStat_2,df_2,pvalue_2,fdr_2,gene_id
Potri.005G160700,37.35669817,8,9.89E-06,6.48E-05,Potri.005G160700
Potri.001G184000,37.32387523,8,1.00E-05,6.57E-05,Potri.001G184000
Potri.008G154200,37.2943038,8,1.02E-05,6.65E-05,Potri.008G154200
Potri.009G135400,37.2691035,8,1.03E-05,6.72E-05,Potri.009G135400
Potri.005G003900,37.26622206,8,1.03E-05,6.72E-05,Potri.005G003900
Potri.008G181700,37.22483997,8,1.05E-05,6.84E-05,Potri.008G181700
Potri.003G094000,37.20579204,8,1.05E-05,6.90E-05,Potri.003G094000
Potri.005G218200,37.20352941,8,1.06E-05,6.90E-05,Potri.005G218200
Potri.009G052600,37.1888595,8,1.06E-05,6.94E-05,Potri.009G052600
Potri.006G243300,37.17030979,8,1.07E-05,6.99E-05,Potri.006G243300
Potri.005G139200,37.17025916,8,1.07E-05,6.99E-05,Potri.005G139200
Potri.010G201100,37.15856186,8,1.08E-05,7.03E-05,Potri.010G201100
Potri.001G320700,37.15337031,8,1.08E-05,7.04E-05,Potri.001G320700
Potri.011G088400,37.14684564,8,1.08E-05,7.06E-05,Potri.011G088400
Potri.010G210100,37.10238483,8,1.10E-05,7.19E-05,Potri.010G210100
Potri.001G123600,37.07830107,8,1.11E-05,7.26E-05,Potri.001G123600
Potri.007G050800,37.07665468,8,1.11E-05,7.27E-05,Potri.007G050800
Potri.008G032600,37.07000766,8,1.12E-05,7.29E-05,Potri.008G032600
Potri.014G110500,37.06556839,8,1.12E-05,7.30E-05,Potri.014G110500
Potri.014G137550,37.06066948,8,1.12E-05,7.31E-05,Potri.014G137550
Potri.006G229400,37.05877792,8,1.12E-05,7.32E-05,Potri.006G229400
Potri.011G071200,37.04887517,8,1.13E-05,7.34E-05,Potri.011G071200
Potri.003G152300,37.02616184,8,1.14E-05,7.41E-05,Potri.003G152300
Potri.016G132000,37.01310587,8,1.14E-05,7.45E-05,Potri.016G132000
Potri.010G116600,36.98990756,8,1.16E-05,7.53E-05,Potri.010G116600
Potri.012G125000,36.97856123,8,1.16E-05,7.56E-05,Potri.012G125000
Potri.001G179600,36.95937102,8,1.17E-05,7.62E-05,Potri.001G179600
Potri.001G094100,36.95027645,8,1.18E-05,7.65E-05,Potri.001G094100
Potri.017G096800,36.9484463,8,1.18E-05,7.65E-05,Potri.017G096800
Potri.009G007200,36.94594324,8,1.18E-05,7.66E-05,Potri.009G007200
Potri.008G116600,36.88557942,8,1.21E-05,7.85E-05,Potri.008G116600
Potri.003G180500,36.8773864,8,1.21E-05,7.88E-05,Potri.003G180500
Potri.002G172000,36.86276161,8,1.22E-05,7.93E-05,Potri.002G172000
Potri.006G013200,36.85779687,8,1.22E-05,7.94E-05,Potri.006G013200
Potri.001G062100,36.82088959,8,1.24E-05,8.06E-05,Potri.001G062100
Potri.009G028800,36.81589137,8,1.24E-05,8.08E-05,Potri.009G028800
Potri.008G090600,36.8041367,8,1.25E-05,8.12E-05,Potri.008G090600
Potri.T124407,36.79490338,8,1.26E-05,8.15E-05,Potri.T124407
Potri.007G086800,36.79302727,8,1.26E-05,8.15E-05,Potri.007G086800
Potri.014G121300,36.78849758,8,1.26E-05,8.17E-05,Potri.014G121300
Potri.006G272900,36.78099342,8,1.26E-05,8.19E-05,Potri.006G272900
