Gene,waldStat,df,pvalue,fcMedian,FDR adjusted_pval,
Potri.018G027100,19.47547204,2,5.90E-05,0.549548623,0.003256192,
Potri.012G098400,19.46094188,2,5.94E-05,0.432508849,0.003272125,
Potri.011G042400,19.42267361,2,6.06E-05,0.37840316,0.003327415,
Potri.013G078500,19.39673505,2,6.14E-05,0.529485409,0.003362862,
Potri.006G009000,19.34908108,2,6.29E-05,0.474948369,0.00343581,
Potri.001G166000,22.03189682,3,6.42E-05,0.499225507,0.003502846,
Potri.006G219100,19.26748402,2,6.55E-05,1.513658765,0.003553681,
Potri.008G040700,19.2696359,2,6.54E-05,0.608893194,0.003553681,
Potri.008G181700,19.2226042,2,6.70E-05,1.374004096,0.003625816,
Potri.002G168900,19.20090993,2,6.77E-05,0.58073403,0.003631342,
Potri.005G129500,19.21413861,2,6.73E-05,0.398046526,0.003631342,
Potri.009G086850,24.36096539,4,6.76E-05,1.264011557,0.003631342,
Potri.018G108000,19.20936376,2,6.74E-05,0.498692924,0.003631342,
Potri.002G044100,19.19135847,2,6.80E-05,1.103183989,0.003631873,
Potri.009G012100,19.19240953,2,6.80E-05,0.809024697,0.003631873,
Potri.010G192600,19.17396941,2,6.86E-05,0.462874105,0.003655146,
Potri.008G041400,19.16886024,2,6.88E-05,6.994450535,0.003656071,
Potri.006G087300,19.16189146,2,6.90E-05,1.090057026,0.003660418,
Potri.017G036800,19.09534093,2,7.14E-05,0.345433724,0.003775609,
Potri.001G228100,19.04787569,2,7.31E-05,0.313769901,0.003857459,
Potri.008G033000,19.04110896,2,7.33E-05,0.27445054,0.003861715,
Potri.005G215200,19.03227707,2,7.37E-05,0.582768045,0.003869991,
Potri.009G092400,18.966674,2,7.61E-05,0.530986422,0.003989969,
Potri.019G039600,18.92514711,2,7.77E-05,0.660503657,0.004064464,
Potri.002G155600,18.91856715,2,7.80E-05,1.581170733,0.004068653,
Potri.010G125200,18.77305944,2,8.38E-05,0.495062938,0.004365842,
Potri.007G014400,18.74268339,2,8.51E-05,0.25009555,0.004422696,
Potri.002G006300,18.6965062,2,8.71E-05,0.694647927,0.004515849,
Potri.002G189200,18.6758813,2,8.80E-05,0.274699576,0.004552453,
Potri.006G245200,18.63309099,2,8.99E-05,0.969671564,0.004640521,
Potri.011G077500,18.62587901,2,9.02E-05,0.844601465,0.004646912,
Potri.002G239300,18.60650086,2,9.11E-05,0.318426305,0.004681728,
Potri.003G161900,18.56667204,2,9.30E-05,0.344855961,0.004765307,
Potri.010G121800,21.17905314,3,9.66E-05,0.681142151,0.004942759,
Potri.008G006200,18.4814329,2,9.70E-05,0.665419045,0.004950838,
Potri.004G013900,18.46558708,2,9.78E-05,0.323301827,0.004968409,
Potri.012G043800,18.46553661,2,9.78E-05,0.734340748,0.004968409,
Potri.001G166500,18.45736866,2,9.82E-05,1.250470149,0.004975544,
Potri.002G185300,18.45389465,2,9.84E-05,1.137012016,0.004975544,
Potri.015G055600,18.4417215,2,9.90E-05,0.519594084,0.00499499,
Potri.006G065800,18.43323912,2,9.94E-05,0.300799841,0.004998407,
Potri.019G132201,18.43163926,2,9.95E-05,2.239938849,0.004998407,
Potri.012G069400,18.40763143,2,0.000100655,0.947848587,0.005047795,
Potri.015G006800,18.40149055,2,0.000100964,0.945004741,0.005052359,
Potri.002G021800,18.3909749,2,0.000101496,0.911511685,0.005068023,
Potri.008G102800,18.34730315,2,0.000103737,1.277728424,0.005168741,
Potri.005G055900,18.33474,2,0.000104391,0.506449319,0.005190126,
Potri.019G071700,18.3274068,2,0.000104774,0.768584689,0.005198012,
Potri.018G060000,18.26276287,2,0.000108216,0.802201107,0.005357271,
Potri.009G134000,18.25432296,2,0.000108674,0.898549105,0.00536843,
Potri.003G195400,18.23379956,2,0.000109795,0.693365452,0.005412239,
Potri.003G124400,18.21674146,2,0.000110735,0.731066271,0.005446983,
Potri.001G004000,18.20776423,2,0.000111233,0.430978795,0.005459871,
Potri.010G234500,18.19368124,2,0.000112019,0.833139869,0.005486803,
Potri.014G019900,18.11258353,2,0.000116655,0.696643039,0.005701779,
Potri.011G053000,18.08912513,2,0.000118031,0.603898813,0.005756879,
Potri.005G216900,18.07257557,2,0.000119012,0.538251645,0.005792493,
Potri.012G124400,18.00528219,2,0.000123084,0.237597499,0.005978122,
Potri.001G235500,17.99630782,2,0.000123638,1.237546219,0.005979881,
Potri.007G046200,17.99996751,2,0.000123412,0.317951282,0.005979881,
Potri.002G025100,17.98578915,2,0.00012429,0.496373172,0.005986367,
Potri.004G231200,17.9896892,2,0.000124048,3.322607997,0.005986367,
Potri.012G115100,17.96689938,2,0.000125469,0.44178985,0.006030611,
Potri.001G400100,17.95779475,2,0.000126042,0.27356319,0.006045558,
Potri.011G118200,17.95027096,2,0.000126517,0.767291161,0.00605578,
Potri.005G230800,17.82567829,2,0.000134649,0.724299112,0.006431715,
Potri.002G034000,17.7656838,2,0.000138749,0.772569057,0.006613907,
Potri.013G144100,17.74199864,2,0.000140402,0.579622131,0.006678927,
Potri.014G037600,17.73429501,2,0.000140944,0.979205023,0.006690936,
Potri.006G121801,17.72177201,2,0.000141829,0.285199194,0.006719165,
Potri.008G055800,17.70799884,2,0.000142809,0.669907005,0.006751762,
Potri.003G111600,17.67788528,2,0.000144976,0.798135959,0.006840202,
Potri.001G055100,17.65135044,2,0.000146912,0.479831818,0.006917442,
Potri.001G385300,17.63683901,2,0.000147982,0.888040551,0.006953653,
Potri.003G083700,17.62456279,2,0.000148893,2.19211854,0.006982275,
Potri.006G185601,17.60903964,2,0.000150053,0.60258169,0.007022435,
Potri.015G060100,17.49698854,2,0.0001587,0.314995592,0.007412096,
Potri.001G177400,17.45906249,2,0.000161738,0.454602141,0.007538763,
Potri.013G064300,17.43459112,2,0.000163729,0.226762491,0.007602202,
Potri.T046200,17.43425455,2,0.000163757,0.790914542,0.007602202,
Potri.017G088700,17.42266299,2,0.000164709,0.596423562,0.007631068,
Potri.002G221500,17.41390763,2,0.000165431,0.157332082,0.007649218,
Potri.012G111600,17.40480119,2,0.000166186,0.539114699,0.007668789,
Potri.005G192300,17.31709885,2,0.000173636,0.566366274,0.007996595,
Potri.005G211000,19.88057595,3,0.000179695,0.295912115,0.008226485,
Potri.010G193500,17.25270176,2,0.000179318,0.327447568,0.008226485,
Potri.013G129900,17.25188596,2,0.000179391,3.79039968,0.008226485,
Potri.009G102101,19.84230925,3,0.000183006,1.772590421,0.00836148,
Potri.014G094200,17.20647368,2,0.000183511,0.628574014,0.008368022,
Potri.005G040300,17.19645247,2,0.000184433,0.411329903,0.008383019,
Potri.019G056500,17.19501838,2,0.000184565,0.865709756,0.008383019,
Potri.001G332900,17.17123557,2,0.000186773,0.621463807,0.008466666,
Potri.001G167700,17.15244124,2,0.000188536,1.171049771,0.008529879,
Potri.005G020200,17.13807752,2,0.000189895,26.11005935,0.00857458,
Potri.003G171400,17.13223851,2,0.00019045,1.162227558,0.008582886,
Potri.017G135800,17.12757478,2,0.000190895,0.899341665,0.008586187,
Potri.001G238800,17.11616478,2,0.000191987,0.954236221,0.008618543,
Potri.006G191700,17.09787812,2,0.000193751,0.755579672,0.008680851,
Potri.003G130100,17.07737118,2,0.000195747,0.248027815,0.008753354,
Potri.008G103900,17.04129327,2,0.000199311,0.632223521,0.008895482,
Potri.003G085800,17.00091422,2,0.000203375,0.461456712,0.009041991,
Potri.013G150500,17.00388196,2,0.000203074,0.311882951,0.009041991,
Potri.001G422800,16.97922278,2,0.000205593,0.507213036,0.009118969,
Potri.018G081000,16.97628194,2,0.000205896,0.2438046,0.009118969,
Potri.017G059400,16.97052934,2,0.000206489,0.265570339,0.00912775,
Potri.005G024100,16.90135806,2,0.000213755,0.355064135,0.009430929,
Potri.005G096700,16.87424804,2,0.000216672,0.498951683,0.009523652,
Potri.006G048500,16.87417152,2,0.000216681,0.600292543,0.009523652,
Potri.013G107700,16.8266189,2,0.000221894,0.400698248,0.009734296,
Potri.011G165200,16.79188502,2,0.000225782,0.52777892,0.009886069,
Potri.015G141400,16.76830128,2,0.00022846,0.365444951,0.009984424,
Potri.007G102400,16.76355832,2,0.000229002,0.939169875,0.009989247,
Potri.013G138300,16.75809106,2,0.000229629,0.121723451,0.009997727,
Potri.008G208200,16.74038296,2,0.000231671,0.5358968,0.01005576,
Potri.018G150400,16.73899659,2,0.000231832,0.630802032,0.01005576,
Potri.002G141700,19.28384967,3,0.000238829,0.603451775,0.010339856,
Potri.007G114600,16.64628458,2,0.000242832,0.982802312,0.010493503,
Potri.010G159300,16.63138988,2,0.000244647,1.008913978,0.010534562,
Potri.016G138900,16.63101148,2,0.000244693,0.360007522,0.010534562,
Potri.005G202100,16.62002347,2,0.000246041,1.646186892,0.01057291,
Potri.001G119000,16.59331075,2,0.000249349,0.49839516,0.010642123,
Potri.002G187500,16.59453896,2,0.000249196,0.223682932,0.010642123,
Potri.006G015700,16.59417186,2,0.000249242,0.547152349,0.010642123,
Potri.006G227500,16.59215861,2,0.000249493,1.638660919,0.010642123,
Potri.007G046900,16.56521642,2,0.000252877,0.552373638,0.01076659,
Potri.015G018900,16.55858551,2,0.000253717,0.447529506,0.010782488,
Potri.005G194900,16.53726487,2,0.000256436,2.886021567,0.010878051,
Potri.009G143100,16.51489479,2,0.00025932,0.805271697,0.010980259,
Potri.014G068500,16.49280534,2,0.0002622,0.480186663,0.011061686,
Potri.014G171500,16.49460339,2,0.000261964,1.339738994,0.011061686,
Potri.011G074067,16.4803119,2,0.000263843,0.138217583,0.011110726,
Potri.010G101200,16.47605811,2,0.000264405,0.975153497,0.011114138,
Potri.005G093800,21.38396396,4,0.000265717,1.337468567,0.011149023,
Potri.010G194850,19.01153627,3,0.000271901,0.71415845,0.011387841,
Potri.005G197800,16.37340092,2,0.000278331,0.824657089,0.011626335,
Potri.015G069200,16.37145582,2,0.000278602,0.366909003,0.011626335,
Potri.014G080300,16.29453224,2,0.000289526,0.775186101,0.012060445,
Potri.019G053700,16.28848426,2,0.000290403,0.336168157,0.012075214,
Potri.017G148100,16.27505178,2,0.00029236,0.292159052,0.012134762,
Potri.010G127000,16.27074304,2,0.00029299,0.309562343,0.012139139,
Potri.003G171300,16.2535785,2,0.000295516,0.502606553,0.012200041,
Potri.016G033100,16.25549273,2,0.000295233,0.545640384,0.012200041,
Potri.013G120300,16.23142548,2,0.000298807,0.403645808,0.012313937,
Potri.017G147200,16.2081523,2,0.000302304,0.46010057,0.012435899,
Potri.003G173300,16.18507395,2,0.000305813,0.383255568,0.012557885,
Potri.001G333902,16.17735745,2,0.000306995,1.424746187,0.012584078,
Potri.004G138000,16.16265776,2,0.00030926,0.842325156,0.012654473,
Potri.001G375900,16.12896727,2,0.000314513,0.465822141,0.012846709,
Potri.008G197600,16.10478675,2,0.000318339,0.214510657,0.012980038,
Potri.002G042600,16.07485195,2,0.00032314,0.427420658,0.01315258,
Potri.001G067300,16.06906425,2,0.000324076,0.508275643,0.013167515,
Potri.017G119900,16.06053824,2,0.000325461,0.687390691,0.013200568,
Potri.003G195300,16.01971662,2,0.000332172,0.329750567,0.013449176,
Potri.011G146700,16.00087231,2,0.000335316,0.408637728,0.01355276,
Potri.010G003400,15.99245586,2,0.00033673,1.558420346,0.013586161,
Potri.008G197000,15.96605245,2,0.000341205,0.263568377,0.013742727,
Potri.006G157600,15.95379498,2,0.000343303,0.390987492,0.013803164,
Potri.006G137300,18.51401812,3,0.000344525,0.642688749,0.013804294,
Potri.012G094900,15.94757447,2,0.000344372,0.718797594,0.013804294,
Potri.001G470100,15.92761793,2,0.000347826,1.741344989,0.013864454,
Potri.006G259400,15.93177673,2,0.000347103,1.143045917,0.013864454,
Potri.014G089300,15.92855903,2,0.000347662,0.606992814,0.013864454,
Potri.004G199600,15.9171583,2,0.00034965,0.671227416,0.013913164,
Potri.010G223766,15.9125972,2,0.000350448,0.44056364,0.01392097,
Potri.001G028000,15.88917163,2,0.000354577,0.729919583,0.014060822,
Potri.008G057500,18.43711567,3,0.000357356,0.367186366,0.01414677,
Potri.017G099000,18.42839575,3,0.000358841,1.988241491,0.014181256,
Potri.001G133300,15.85237786,2,0.00036116,0.892159542,0.014248571,
Potri.010G212900,15.8434585,2,0.000362774,0.386423381,0.014287875,
Potri.002G031000,18.38937333,3,0.00036556,0.300283286,0.014373082,
Potri.008G130000,15.81431918,2,0.000368099,0.704295427,0.014409909,
Potri.010G122000,15.81643328,2,0.00036771,0.707128089,0.014409909,
Potri.010G227800,15.81286651,2,0.000368366,0.262396621,0.014409909,
Potri.001G280400,15.8091634,2,0.000369049,0.396386132,0.014412228,
Potri.011G097100,15.77648274,2,0.000375129,0.682445927,0.014624959,
Potri.015G122500,15.77232022,2,0.00037591,0.386520662,0.014630756,
Potri.003G083900,15.75624011,2,0.000378945,0.426176948,0.01469937,
Potri.011G009900,15.75825653,2,0.000378563,0.350687256,0.01469937,
Potri.018G057900,15.74693134,2,0.000380713,0.323649276,0.014743209,
Potri.001G172800,15.72925284,2,0.000384093,0.61305016,0.014849232,
Potri.017G122300,15.71655147,2,0.00038654,2.28404271,0.014918887,
Potri.007G025800,18.25275264,3,0.000390085,0.626634916,0.015030608,
Potri.004G157600,15.68260278,2,0.000393157,1.900857575,0.015098668,
Potri.012G034400,15.68537928,2,0.000392612,0.475060739,0.015098668,
Potri.002G228200,15.64016709,2,0.000401588,0.976627145,0.015370641,
Potri.008G116400,15.63695529,2,0.000402234,0.395750205,0.015370641,
Potri.010G240000,15.63874978,2,0.000401873,0.276193669,0.015370641,
Potri.016G049900,15.63344571,2,0.00040294,1.535283111,0.015372228,
Potri.002G092900,15.60771852,2,0.000408157,0.926517589,0.015545595,
Potri.001G361600,15.5911056,2,0.000411561,0.431421482,0.01564948,
Potri.014G080500,15.58713502,2,0.000412379,0.716166205,0.015654831,
Potri.001G279000,15.57669391,2,0.000414538,0.340100201,0.015710974,
Potri.018G062700,15.56468893,2,0.000417033,0.403827804,0.015779694,
Potri.002G133300,15.53261098,2,0.000423776,0.419959884,0.016008624,
Potri.004G236200,15.51626856,2,0.000427253,0.423629904,0.016035165,
Potri.009G061300,15.51675925,2,0.000427148,1.011842412,0.016035165,
Potri.011G098800,15.52117112,2,0.000426207,1.096102537,0.016035165,
Potri.015G012500,15.52574324,2,0.000425234,0.394689273,0.016035165,
Potri.004G034700,15.48975025,2,0.000432956,0.398964621,0.016222857,
Potri.002G019300,15.47452107,2,0.000436265,0.73222899,0.016302832,
Potri.002G033000,15.47344252,2,0.0004365,0.51223632,0.016302832,
Potri.004G053000,15.45381905,2,0.000440804,0.439901797,0.016437024,
Potri.010G211400,15.4453849,2,0.000442667,0.740234086,0.016479906,
Potri.016G092700,15.43347457,2,0.000445311,1.158560284,0.016551686,
Potri.014G018300,15.42047919,2,0.000448214,0.17869896,0.016632843,
Potri.001G337400,15.4116953,2,0.000450187,0.397516329,0.016679282,
Potri.005G043400,15.35873218,2,0.000462268,0.618495168,0.017079772,
Potri.006G204200,15.35784031,2,0.000462474,0.660990451,0.017079772,
Potri.001G058100,15.35083952,2,0.000464096,1.22419768,0.017112326,
Potri.002G084500,15.33748863,2,0.000467204,0.763508241,0.017172165,
Potri.003G006300,15.33757247,2,0.000467185,0.397685097,0.017172165,
Potri.010G162300,17.83082772,3,0.000476636,0.657536721,0.017491022,
Potri.008G179700,15.29048041,2,0.000478315,0.445471909,0.01752484,
Potri.001G358300,15.28521327,2,0.000479577,0.298408791,0.017543251,
Potri.002G155400,17.7969098,3,0.000484371,0.587890577,0.017626745,
Potri.002G259200,15.27125376,2,0.000482936,0.738864162,0.017626745,
Potri.010G055000,15.26417928,2,0.000484647,0.423643438,0.017626745,
Potri.011G131800,15.26309887,2,0.000484909,1.841520854,0.017626745,
Potri.004G044100,15.25402928,2,0.000487113,0.420585956,0.017679063,
Potri.009G121300,15.23911931,2,0.000490758,0.485213801,0.017783435,
Potri.015G024500,15.22268043,2,0.000494808,0.93032339,0.017902148,
Potri.001G099400,15.21773783,2,0.000496033,0.966431054,0.017918402,
Potri.014G028300,15.13219359,2,0.000517709,0.306134595,0.018672262,
Potri.018G033300,15.12362468,2,0.000519932,0.199798394,0.018723225,
Potri.003G032200,15.10410286,2,0.000525032,0.598381211,0.018877471,
Potri.011G167700,15.0730617,2,0.000533244,1.242361776,0.019113295,
Potri.015G061400,15.07350505,2,0.000533126,0.815636804,0.019113295,
Potri.017G057400,15.06918153,2,0.00053428,0.390021295,0.019120768,
Potri.001G118800,15.05596403,2,0.000537822,0.538460377,0.019217802,
Potri.013G114200,15.04997688,2,0.000539435,0.7524117,0.019245672,
Potri.004G187450,14.9981723,2,0.00055359,2.381951116,0.019720259,
Potri.001G129800,14.9812721,2,0.000558288,0.532326737,0.019857007,
Potri.002G242500,14.97433371,2,0.000560228,0.286172483,0.019895406,
Potri.008G038100,14.95708259,2,0.000565081,0.132772622,0.020036978,
Potri.002G073400,14.94099134,2,0.000569646,0.456796789,0.020167906,
Potri.001G292600,17.43094788,3,0.000576203,0.347775952,0.020368869,
Potri.019G121100,14.90975634,2,0.000578612,0.767363586,0.0204228,
Potri.010G141600,14.89457485,2,0.000583021,0.219897895,0.020515771,
Potri.017G130300,14.89508156,2,0.000582873,1.640825514,0.020515771,
Potri.004G135300,14.8857158,2,0.000585609,0.361779271,0.020557959,
Potri.013G123800,14.88438733,2,0.000585998,0.505536684,0.020557959,
Potri.016G084200,14.82302081,2,0.000604257,0.351951563,0.021166402,
Potri.010G197300,14.75696328,2,0.000624548,0.813957412,0.021844078,
Potri.001G319100,14.73716039,2,0.000630763,0.417309487,0.022026536,
Potri.008G029700,14.73428486,2,0.000631671,2.671861154,0.022026536,
Potri.001G093800,14.72725767,2,0.000633894,0.544407487,0.022041423,
Potri.011G132800,14.7269095,2,0.000634004,0.312501664,0.022041423,
Potri.004G036800,14.70776311,2,0.000640103,0.681820419,0.02222003,
Potri.006G198500,14.69026491,2,0.000645728,0.519366676,0.022381682,
Potri.014G117300,14.6759895,2,0.000650353,0.734586439,0.022508262,
Potri.006G275100,14.66658994,2,0.000653417,1.007495225,0.022548282,
Potri.014G076300,14.66645752,2,0.00065346,0.34354861,0.022548282,
Potri.013G009700,14.66171012,2,0.000655013,2.648386355,0.022568185,
Potri.001G448400,14.63635285,2,0.000663371,0.423866715,0.022822128,
Potri.017G144061,17.11553023,3,0.000669109,0.504702802,0.022985336,
Potri.001G132700,14.61079145,2,0.000671904,0.476563693,0.02304709,
Potri.012G015600,14.57447146,2,0.000684217,0.84387172,0.023434679,
Potri.006G106300,14.55812904,2,0.000689831,1.945730364,0.023592002,
Potri.004G208900,14.53591181,2,0.000697536,0.466960102,0.0238203,
Potri.010G007877,14.44599132,2,0.000729613,0.28740234,0.024878958,
Potri.001G330300,14.42990664,2,0.000735505,0.555881318,0.025042914,
Potri.002G207800,14.38581182,2,0.000751901,0.438891005,0.025563528,
Potri.001G416300,14.36645738,2,0.000759213,0.19148551,0.025774209,
Potri.012G119000,14.35954681,2,0.00076184,0.390738685,0.025825498,
Potri.003G173000,14.3483223,2,0.000766128,0.379536295,0.025917201,
Potri.018G095200,14.34660114,2,0.000766788,2.421586789,0.025917201,
Potri.006G094300,16.81847627,3,0.000770165,0.580928695,0.025993339,
Potri.015G083400,14.33107938,2,0.000772762,0.51595566,0.026042974,
Potri.001G432680,14.32142235,2,0.000776502,0.38138353,0.026130935,
Potri.013G066200,14.3130238,2,0.00077977,0.327470284,0.026202756,
Potri.017G016200,14.3069455,2,0.000782143,0.248163287,0.026244366,
Potri.007G086900,14.30078034,2,0.000784558,0.302200793,0.026287238,
Potri.005G033500,16.70528597,3,0.000812542,0.548037955,0.027185474,
Potri.003G132000,14.2225078,2,0.000815871,0.271191393,0.027253236,
Potri.017G125300,16.69391553,3,0.000816925,1.008135496,0.027253236,
Potri.006G087100,14.18007499,2,0.000833366,0.253707354,0.027761659,
Potri.002G087700,14.16980115,2,0.000837658,1.155059743,0.027864485,
Potri.012G061100,14.1638059,2,0.000840173,0.54941183,0.027907982,
Potri.001G342000,14.13778534,2,0.000851175,0.99219798,0.028189294,
Potri.002G125800,14.13694919,2,0.000851531,0.545022379,0.028189294,
Potri.003G157900,14.13514471,2,0.0008523,0.351439062,0.028189294,
Potri.014G129200,14.13075247,2,0.000854173,0.416966482,0.02821091,
Potri.012G048600,14.08781808,2,0.000872708,0.088114427,0.028781949,
Potri.009G053500,14.07975666,2,0.000876233,2.277084593,0.028857029,
Potri.010G145000,14.03890953,2,0.000894313,0.543675897,0.029410557,
Potri.008G167800,14.01768543,2,0.000903854,0.327260193,0.029682103,
Potri.018G142800,16.47120618,3,0.000907668,0.549413796,0.02976508,
Potri.005G111900,14.00227538,2,0.000910845,0.491429912,0.029784764,
Potri.006G068100,14.00304406,2,0.000910495,0.288275877,0.029784764,
Potri.016G114500,13.96726229,2,0.000926931,0.669465427,0.030267972,
Potri.006G074900,13.94531882,2,0.000937157,0.502007204,0.03055873,
Potri.008G142400,13.91177888,2,0.000953006,1.125558081,0.031031752,
Potri.004G005900,13.90265945,2,0.000957361,0.24813406,0.031086005,
Potri.007G039100,13.90401971,2,0.00095671,1.245602248,0.031086005,
Potri.019G036875,13.87403021,2,0.000971164,0.26071622,0.031489962,
Potri.018G151900,13.85166741,2,0.000982084,0.643980405,0.03179944,
Potri.006G169700,13.8344312,2,0.000990584,0.695209479,0.032029816,
Potri.007G032500,13.80706853,2,0.00100423,0.434038392,0.032416003,
Potri.013G012100,13.80487459,2,0.001005332,0.592929232,0.032416003,
Potri.009G060800,13.74759855,2,0.001034539,0.366386825,0.033311294,
Potri.003G095300,13.71125982,2,0.001053508,0.218715638,0.033874892,
Potri.017G093600,13.69289068,2,0.001063228,0.160557957,0.034139968,
Potri.015G074400,13.68754822,2,0.001066072,0.537170684,0.034183809,
Potri.001G414700,13.67775872,2,0.001071303,0.568161043,0.034303962,
Potri.005G079200,13.65882199,2,0.001081495,0.367735508,0.034582409,
Potri.001G406200,13.63917556,2,0.001092171,0.432416102,0.034875556,
Potri.009G136600,13.62910132,2,0.001097686,0.286548508,0.03495511,
Potri.012G014966,13.63165563,2,0.001096285,0.523373337,0.03495511,
Potri.002G127700,13.6145657,2,0.001105693,0.339787011,0.035108272,
Potri.007G008200,13.6132082,2,0.001106444,0.280659338,0.035108272,
Potri.010G216300,16.05091374,3,0.001107052,0.578240478,0.035108272,
Potri.018G094900,13.60073014,2,0.001113369,1.168832013,0.035260232,
Potri.002G009700,13.57349234,2,0.001128635,0.511259048,0.035671637,
Potri.004G144800,13.5720579,2,0.001129445,0.450987975,0.035671637,
Potri.002G231900,13.53010794,2,0.001153385,0.912192257,0.036378054,
Potri.002G072200,13.52062589,2,0.001158866,0.846395943,0.036501136,
Potri.007G112400,13.50795027,2,0.001166234,0.567386318,0.03668323,
Potri.002G193400,13.50241572,2,0.001169466,1.21422867,0.036734904,
Potri.001G059900,13.49644341,2,0.001172964,0.371861387,0.036794771,
Potri.001G271900,13.47078471,2,0.001188109,0.651632826,0.037169,
Potri.010G072700,13.47347557,2,0.001186512,1.798141013,0.037169,
Potri.006G227600,13.44131688,2,0.001205744,0.657161772,0.037669725,
Potri.002G195901,13.43855906,2,0.001207408,0.73179925,0.037670798,
Potri.011G122100,13.43305394,2,0.001210736,0.277315799,0.037723722,
Potri.003G109700,13.42887689,2,0.001213267,0.471750412,0.037751713,
Potri.006G079600,15.84887151,3,0.00121782,0.475024555,0.037842459,
Potri.002G062200,13.3956826,2,0.001233572,0.750598158,0.038280469,
Potri.002G241100,13.38145806,2,0.001242377,0.711878162,0.038484558,
Potri.008G064800,13.3796862,2,0.001243478,0.380891649,0.038484558,
Potri.001G409900,15.78711177,3,0.001253826,0.766958765,0.038752953,
Potri.002G145900,13.34920982,2,0.001262571,0.365008158,0.038867358,
Potri.007G078200,13.35064858,2,0.001261663,0.446897802,0.038867358,
Potri.011G051300,13.3524228,2,0.001260545,1.106014007,0.038867358,
Potri.006G255000,13.34091218,2,0.00126782,0.331935301,0.038977047,
Potri.006G128700,13.30809334,2,0.001288796,0.467263743,0.039563059,
Potri.016G126700,13.3057543,2,0.001290304,0.658831175,0.039563059,
Potri.002G024400,13.29576322,2,0.001296766,0.237031617,0.039708528,
Potri.001G018700,13.28005408,2,0.001306992,0.326916797,0.039968711,
Potri.001G392700,13.26722083,2,0.001315405,0.256743547,0.040129879,
Potri.006G066900,15.68326152,3,0.001316769,1.730750702,0.040129879,
Potri.011G118166,15.68213314,3,0.00131747,0.920414421,0.040129879,
Potri.001G177000,13.2535669,2,0.001324416,0.350700222,0.040288395,
Potri.007G092700,13.2366985,2,0.001335634,0.418101571,0.040576243,
Potri.019G084100,13.22575805,2,0.00134296,0.305636906,0.04074527,
Potri.016G138000,13.19213784,2,0.001365726,0.563861122,0.041381685,
Potri.003G061800,13.18597794,2,0.001369939,0.506296347,0.041455004,
Potri.004G034000,13.18244403,2,0.001372362,1.178225604,0.041474032,
Potri.002G129600,13.14932817,2,0.001395275,1.978552578,0.042111425,
Potri.002G073500,13.13535983,2,0.001405053,0.817541291,0.042351279,
Potri.015G029200,13.12778201,2,0.001410387,1.391539399,0.042456695,
Potri.016G064800,13.11639656,2,0.001418439,0.407445979,0.042643553,
Potri.001G198000,13.1020888,2,0.001428623,0.720888133,0.042893935,
Potri.013G027000,13.09077306,2,0.001436729,0.451728535,0.043081361,
Potri.008G002900,13.06626402,2,0.001454443,0.723489591,0.043556058,
Potri.004G093500,13.06211984,2,0.00145746,0.610100814,0.04358994,
Potri.005G086700,13.05898376,2,0.001459747,0.793113054,0.043601938,
Potri.004G163700,13.04396409,2,0.001470751,0.669112584,0.043834902,
Potri.017G147000,13.04316496,2,0.001471339,0.835026552,0.043834902,
Potri.003G220300,13.03239023,2,0.001479287,0.367616651,0.044014973,
Potri.013G031200,13.02768939,2,0.001482768,0.306132297,0.044061841,
Potri.014G192701,13.00971954,2,0.001496151,1.364023293,0.044402445,
Potri.018G104000,12.997832,2,0.00150507,0.71945049,0.044609883,
Potri.010G189300,12.99144922,2,0.001509881,0.394582731,0.044695177,
Potri.002G256600,12.9633458,2,0.001531247,0.414161962,0.045256251,
Potri.005G032800,12.9613837,2,0.00153275,1.324179859,0.045256251,
Potri.001G343100,12.94519184,2,0.001545209,0.379277205,0.045521354,
Potri.014G067300,12.94460019,2,0.001545666,0.468287703,0.045521354,
Potri.006G263600,12.92657318,2,0.001559661,2.764110886,0.045875076,
Potri.012G084800,12.91991329,2,0.001564864,1.53067691,0.045969607,
Potri.009G106200,12.90128745,2,0.001579505,0.594785427,0.046340835,
Potri.016G041000,12.89222169,2,0.001586681,0.349886338,0.046492369,
Potri.006G185700,12.86607627,2,0.001607559,0.192575117,0.047044514,
Potri.001G087600,12.86181807,2,0.001610986,0.413610767,0.047064644,
Potri.001G352300,12.86016381,2,0.001612319,0.258622082,0.047064644,
Potri.004G073600,15.23559763,3,0.001625992,1.654009143,0.047403907,
Potri.014G093100,12.83550191,2,0.001632323,0.257208885,0.047528567,
Potri.003G204300,12.81949345,2,0.001645441,0.19913495,0.047759331,
Potri.006G201400,12.81576459,2,0.001648512,0.126191132,0.047759331,
Potri.008G158000,12.82035497,2,0.001644733,0.409070727,0.047759331,
Potri.012G070500,12.81758472,2,0.001647012,0.496578465,0.047759331,
Potri.001G307200,12.80308769,2,0.001658994,0.538822192,0.047942855,
Potri.001G370700,12.80507083,2,0.00165735,0.57185096,0.047942855,
Potri.002G190800,12.79976581,2,0.001661752,0.752483699,0.047962598,
Potri.008G096900,12.79351572,2,0.001666953,0.627295754,0.047992885,
Potri.014G087900,12.79528193,2,0.001665482,0.385885337,0.047992885,
Potri.010G119400,12.77439352,2,0.001682967,0.519127528,0.048393684,
