Gene,waldStat,df,pvalue,fcMedian,FDR adjusted_pval,
Potri.004G011801,37.28928362,2,7.99E-09,1.046294696,1.20E-06,
Potri.011G151400,36.89656533,2,9.73E-09,1.405963154,1.45E-06,
Potri.002G138800,36.84967282,2,9.96E-09,0.498240113,1.48E-06,
Potri.004G190900,36.78979182,2,1.03E-08,0.408858514,1.51E-06,
Potri.001G000800,36.53537831,2,1.17E-08,0.851404827,1.71E-06,
Potri.004G211900,36.40303203,2,1.25E-08,0.593313357,1.81E-06,
Potri.006G044600,36.38068436,2,1.26E-08,0.350499837,1.81E-06,
Potri.016G112000,36.38609952,2,1.26E-08,0.512205499,1.81E-06,
Potri.002G121400,36.08720319,2,1.46E-08,1.643706752,2.08E-06,
Potri.008G162800,35.98662804,2,1.53E-08,0.60296091,2.17E-06,
Potri.008G070200,35.9524128,2,1.56E-08,2.308029269,2.20E-06,
Potri.002G154400,35.88452335,2,1.61E-08,1.165882606,2.26E-06,
Potri.001G471400,35.79064178,2,1.69E-08,0.423807395,2.34E-06,
Potri.002G146400,35.78950674,2,1.69E-08,0.384795013,2.34E-06,
Potri.006G181900,35.70644085,2,1.76E-08,0.244722388,2.41E-06,
Potri.013G011800,38.96608225,3,1.76E-08,1.124882277,2.41E-06,
Potri.002G034400,35.59859538,2,1.86E-08,0.356231168,2.53E-06,
Potri.018G069450,35.55284363,2,1.90E-08,0.822504253,2.57E-06,
Potri.011G068300,38.76824753,3,1.94E-08,0.448335662,2.61E-06,
Potri.006G052700,35.26821079,2,2.20E-08,0.87867681,2.93E-06,
Potri.002G187700,35.23640715,2,2.23E-08,1.230974157,2.96E-06,
Potri.001G255700,35.11790529,2,2.37E-08,0.651160984,3.13E-06,
Potri.013G151500,35.02217176,2,2.48E-08,1.005537011,3.26E-06,
Potri.002G110100,34.94243732,2,2.58E-08,0.585085442,3.38E-06,
Potri.003G156600,38.02807619,3,2.79E-08,1.634946645,3.62E-06,
Potri.006G120400,34.69089064,2,2.93E-08,0.673167613,3.79E-06,
Potri.006G067000,34.49667266,2,3.23E-08,0.48319139,4.15E-06,
Potri.002G025200,37.67519269,3,3.31E-08,0.216658174,4.23E-06,
Potri.006G118800,34.30311202,2,3.56E-08,1.438001854,4.52E-06,
Potri.008G158800,34.04841562,2,4.04E-08,0.31579119,5.11E-06,
Potri.007G002500,37.22722543,3,4.12E-08,0.591334482,5.18E-06,
