,waldStat,df,pvalue,logFC1_2,FDR
Potri.009G061100,156.9474104,1,0,-6.595527796,0
Potri.009G078200,150.9121968,1,0,-4.05108911,0
Potri.001G097600,144.9094061,1,0,-5.789714595,0
Potri.008G038200,124.5705292,1,0,3.638777937,0
Potri.002G189200,123.5791592,1,0,1.900240314,0
Potri.006G033500,119.6300604,1,0,-4.428081348,0
Potri.010G224100,113.8372286,1,0,2.869501154,0
Potri.013G042800,112.4318657,1,0,2.891613591,0
Potri.006G178200,111.9757183,1,0,-2.472463996,0
Potri.014G114700,109.2431423,1,0,1.859254442,0
Potri.005G218900,108.3117255,1,0,2.346057868,0
Potri.019G034800,107.1114687,1,0,-4.868283237,0
Potri.001G450600,105.1901814,1,0,4.763560977,0
Potri.001G036900,104.5006024,1,0,2.358678446,0
Potri.012G127700,104.4411323,1,0,4.736593032,0
Potri.003G192500,102.4721031,1,0,-3.540094446,0
Potri.002G085100,101.361999,1,0,-4.68888965,0
Potri.005G120700,91.31503626,1,0,-3.834076754,0
Potri.019G130700,90.08123427,1,0,2.357922652,0
Potri.005G208500,88.74030665,1,0,-4.713924924,0
Potri.019G014405,87.41060057,1,0,-3.100834926,0
Potri.016G111800,85.13874539,1,0,5.38442749,0
Potri.003G181400,84.75260614,1,0,2.095654782,0
Potri.003G161900,84.54005177,1,0,2.075538035,0
Potri.001G077160,83.98261853,1,0,-4.461623148,0
Potri.001G032500,81.92815447,1,0,-3.912389036,0
Potri.001G141701,81.53313023,1,0,-2.243759635,0
Potri.010G122200,80.90913846,1,0,-3.775118744,0
Potri.008G201600,80.54725942,1,0,2.373547254,0
Potri.005G233600,78.99081249,1,0,-2.256921846,0
Potri.012G094600,78.56963833,1,0,-1.192728974,0
Potri.007G022700,78.33118733,1,0,-3.191167808,0
Potri.015G004800,75.73328303,1,0,-3.327470138,0
Potri.009G034700,75.55345979,1,0,2.118830302,0
Potri.005G021900,74.82588128,1,0,2.45727897,0
Potri.018G100300,74.46182722,1,0,-3.603426536,0
Potri.014G052500,73.48576746,1,0,-2.478749953,0
Potri.003G195400,73.24581938,1,0,2.852984754,0
Potri.003G111500,72.71544571,1,0,3.568960561,0
Potri.001G049100,72.6205044,1,0,2.260871265,0
Potri.018G120800,72.3971493,1,0,-3.080539706,0
Potri.001G050100,72.07084469,1,0,-2.568317475,0
Potri.002G185300,70.04053364,1,1.11E-16,-5.246427155,6.16E-14
Potri.015G029400,69.76807096,1,1.11E-16,-4.605965509,6.16E-14
Potri.003G120600,69.53446714,1,1.11E-16,1.907744095,6.16E-14
Potri.008G156600,69.17019116,1,1.11E-16,4.360574688,6.16E-14
Potri.002G154100,68.90877844,1,1.11E-16,-3.870695486,6.16E-14
Potri.018G083700,68.7997509,1,1.11E-16,1.882554,6.16E-14
Potri.017G144541,68.72311584,1,1.11E-16,2.181173379,6.16E-14
Potri.007G110500,68.67675125,1,1.11E-16,-3.874381801,6.16E-14
Potri.006G199500,68.06608708,1,1.11E-16,-4.182635393,6.16E-14
Potri.008G142700,67.55544055,1,2.22E-16,-4.088377173,1.10E-13
Potri.004G068500,67.53069485,1,2.22E-16,-3.456304225,1.10E-13
Potri.011G125200,67.47112145,1,2.22E-16,2.49937328,1.10E-13
Potri.008G161100,67.4104982,1,2.22E-16,-1.832413064,1.10E-13
Potri.005G100700,67.3741659,1,2.22E-16,-4.532708402,1.10E-13
Potri.014G016600,67.23130014,1,2.22E-16,-1.572918113,1.10E-13
Potri.014G091800,66.59269184,1,3.33E-16,-2.305319643,1.62E-13
Potri.001G111700,66.17092423,1,4.44E-16,4.190879112,2.13E-13
Potri.003G138600,65.31714239,1,6.66E-16,-3.440586434,3.14E-13
Potri.014G099000,64.57793018,1,8.88E-16,-2.125235247,4.12E-13
Potri.002G029100,64.20611543,1,1.11E-15,-1.909302272,5.06E-13
Potri.008G038100,63.92936017,1,1.33E-15,1.687295291,5.98E-13
Potri.009G098100,63.78229323,1,1.44E-15,-2.935328826,6.38E-13
Potri.006G230200,63.47731853,1,1.67E-15,3.143589363,7.25E-13
Potri.004G143400,63.03984687,1,2.00E-15,-2.173211538,8.56E-13
Potri.014G104200,62.90385462,1,2.22E-15,-2.506990802,9.37E-13
Potri.001G383600,62.40279865,1,2.78E-15,-2.880978412,1.15E-12
Potri.007G039100,61.9232117,1,3.55E-15,-3.285022395,1.46E-12
Potri.014G087700,61.74450135,1,3.89E-15,-2.289123811,1.57E-12
Potri.002G079400,61.56153439,1,4.33E-15,3.235724192,1.72E-12
Potri.003G112600,60.67538392,1,6.77E-15,2.385368988,2.66E-12
Potri.006G021600,60.46747496,1,7.44E-15,-2.081844674,2.88E-12
Potri.007G046100,60.13239941,1,8.88E-15,3.04818988,3.35E-12
Potri.007G096800,60.11790998,1,8.88E-15,2.805187754,3.35E-12
Potri.008G151700,59.94369603,1,9.77E-15,-2.68395782,3.63E-12
Potri.017G120201,59.91241914,1,9.88E-15,3.333806898,3.63E-12
Potri.004G134800,59.85808913,1,1.02E-14,-3.60428906,3.70E-12
Potri.018G139300,59.72959045,1,1.09E-14,-2.885261509,3.90E-12
Potri.002G134600,59.31994213,1,1.34E-14,-2.509508614,4.75E-12
Potri.017G059400,58.78160841,1,1.77E-14,1.282660847,6.16E-12
Potri.017G147200,58.72139419,1,1.82E-14,-2.667703591,6.28E-12
Potri.013G112300,58.59904372,1,1.93E-14,-2.529130717,6.58E-12
Potri.005G184500,58.45592181,1,2.08E-14,-2.935272555,6.99E-12
Potri.013G027000,56.84344947,1,4.72E-14,3.466568834,1.57E-11
Potri.002G099200,56.70659201,1,5.06E-14,1.769633371,1.66E-11
Potri.010G207700,56.26527437,1,6.33E-14,2.889499083,2.06E-11
Potri.005G229100,56.07369341,1,6.98E-14,-2.96447281,2.24E-11
Potri.006G126800,55.92669074,1,7.53E-14,2.186598776,2.39E-11
Potri.006G274700,54.69332821,1,1.41E-13,2.237869447,4.42E-11
Potri.003G192800,54.67349433,1,1.42E-13,-2.828280702,4.42E-11
Potri.014G096200,54.40336525,1,1.63E-13,-1.770892755,4.99E-11
Potri.006G040900,54.39172522,1,1.64E-13,-3.598994886,4.99E-11
Potri.001G448000,54.11370368,1,1.89E-13,-2.702551082,5.69E-11
Potri.013G157900,53.92260368,1,2.08E-13,1.837458688,6.17E-11
Potri.008G195200,53.91590728,1,2.09E-13,1.192365996,6.17E-11
Potri.001G415300,53.52531236,1,2.55E-13,3.84664539,7.41E-11
Potri.017G074000,53.51281784,1,2.57E-13,-3.120127045,7.41E-11
Potri.006G200600,53.17737565,1,3.05E-13,-3.388054783,8.71E-11
Potri.004G079000,53.15167148,1,3.09E-13,-1.185969239,8.73E-11
Potri.002G069400,52.80271154,1,3.69E-13,-2.63562659,1.03E-10
Potri.008G136600,52.61258396,1,4.06E-13,2.015826103,1.13E-10
Potri.003G025100,52.59317142,1,4.10E-13,-6.640431676,1.13E-10
Potri.009G099800,52.51167269,1,4.28E-13,1.258396471,1.16E-10
Potri.004G019800,52.22861877,1,4.94E-13,-3.408845643,1.33E-10
Potri.005G259600,51.94805734,1,5.70E-13,-2.247711051,1.52E-10
Potri.002G109000,51.55723134,1,6.95E-13,1.533406278,1.84E-10
Potri.007G034500,51.33158136,1,7.80E-13,-3.078329342,2.04E-10
Potri.006G098300,51.27104844,1,8.05E-13,-2.148730709,2.09E-10
Potri.001G410600,51.12750587,1,8.66E-13,-3.716169537,2.23E-10
Potri.017G026500,50.62633089,1,1.12E-12,-2.739460768,2.84E-10
Potri.014G197500,50.60220772,1,1.13E-12,3.414537924,2.84E-10
Potri.006G235800,50.59869622,1,1.13E-12,-3.418977904,2.84E-10
Potri.007G039000,50.45624606,1,1.22E-12,-3.144548967,3.02E-10
Potri.010G031000,50.43770996,1,1.23E-12,1.544519665,3.03E-10
Potri.006G093000,50.35462341,1,1.28E-12,-1.509958842,3.13E-10
Potri.016G109700,50.2697782,1,1.34E-12,-3.690239038,3.21E-10
Potri.016G032400,50.26908357,1,1.34E-12,-1.667791304,3.21E-10
Potri.002G024400,50.21402626,1,1.38E-12,1.937103221,3.28E-10
Potri.001G241800,50.15632969,1,1.42E-12,-3.189382658,3.35E-10
Potri.002G100400,50.06981955,1,1.48E-12,2.645217635,3.47E-10
Potri.009G152800,49.9969458,1,1.54E-12,1.189063053,3.57E-10
Potri.001G145200,49.90925428,1,1.61E-12,-6.039683872,3.70E-10
Potri.006G062800,49.82501587,1,1.68E-12,1.171403015,3.83E-10
Potri.001G099400,49.7246671,1,1.77E-12,-3.545668457,4.00E-10
Potri.015G054350,49.5447615,1,1.94E-12,2.00992027,4.35E-10
Potri.004G153800,49.42937161,1,2.06E-12,-2.730495327,4.58E-10
Potri.008G198000,49.41473835,1,2.07E-12,-1.216107475,4.58E-10
Potri.005G242400,49.10727416,1,2.42E-12,-1.380775209,5.31E-10
Potri.013G128100,48.9822463,1,2.58E-12,1.104172872,5.62E-10
Potri.019G067500,48.85425443,1,2.76E-12,-4.225446287,5.95E-10
Potri.007G056400,48.75431659,1,2.90E-12,-2.996075137,6.21E-10
Potri.013G155100,48.74189408,1,2.92E-12,-1.758808995,6.21E-10
Potri.001G299000,48.61942971,1,3.11E-12,-2.914117305,6.56E-10
Potri.010G188200,48.43414487,1,3.42E-12,-1.398392126,7.16E-10
Potri.019G035600,48.21986898,1,3.81E-12,-2.397403873,7.92E-10
Potri.011G154600,47.77346951,1,4.78E-12,1.468608032,9.88E-10
Potri.010G197300,47.51224005,1,5.47E-12,5.607202794,1.12E-09
Potri.005G033600,47.49734524,1,5.51E-12,3.580270382,1.12E-09
Potri.008G025300,47.3911533,1,5.81E-12,2.446590242,1.17E-09
Potri.001G278500,46.68296697,1,8.35E-12,-2.250726146,1.67E-09
Potri.008G199200,46.60686434,1,8.68E-12,-1.668356574,1.73E-09
Potri.003G080100,46.24089746,1,1.05E-11,2.555825402,2.07E-09
Potri.008G086500,46.13541705,1,1.10E-11,-6.505377509,2.17E-09
Potri.002G181300,46.11920739,1,1.11E-11,-2.311263931,2.17E-09
Potri.015G066000,46.07169469,1,1.14E-11,-2.295806759,2.21E-09
Potri.004G041800,46.03199932,1,1.16E-11,-1.926842079,2.24E-09
Potri.006G278000,45.3798947,1,1.62E-11,-3.174962811,3.10E-09
Potri.018G141700,45.28031765,1,1.71E-11,-2.954312843,3.24E-09
Potri.016G031400,45.20914577,1,1.77E-11,-5.489816406,3.34E-09
Potri.014G018100,44.76391403,1,2.22E-11,-1.889923982,4.16E-09
Potri.015G033600,44.52799667,1,2.51E-11,3.647502643,4.67E-09
Potri.010G208300,44.35959545,1,2.73E-11,2.862429069,5.05E-09
Potri.010G070200,44.27890099,1,2.85E-11,1.868357702,5.23E-09
Potri.005G162800,44.17073644,1,3.01E-11,2.001402719,5.49E-09
Potri.008G155900,43.94997913,1,3.37E-11,-5.332042682,6.11E-09
Potri.006G034500,43.41702276,1,4.42E-11,-2.219581321,7.97E-09
Potri.005G038100,43.35797644,1,4.56E-11,2.418997782,8.16E-09
Potri.019G019800,43.34220312,1,4.60E-11,4.516621014,8.17E-09
Potri.007G146300,42.9223692,1,5.70E-11,-1.10336157,1.00E-08
Potri.013G152900,42.91914736,1,5.70E-11,-2.523836967,1.00E-08
Potri.011G043800,42.89539797,1,5.77E-11,-1.365033757,1.01E-08
Potri.006G130300,42.80714229,1,6.04E-11,-1.265501342,1.05E-08
Potri.001G297200,42.78336152,1,6.12E-11,-1.809406497,1.05E-08
Potri.002G119300,42.77923243,1,6.13E-11,-1.529958513,1.05E-08
Potri.006G232100,42.63637112,1,6.59E-11,-1.849926287,1.12E-08
Potri.006G233100,42.61762471,1,6.66E-11,-1.542927102,1.13E-08
Potri.005G158100,42.51798483,1,7.00E-11,-1.962251591,1.18E-08
Potri.003G081800,42.31496687,1,7.77E-11,-1.360784113,1.30E-08
Potri.014G115600,42.31128686,1,7.78E-11,-2.116555946,1.30E-08
Potri.005G032800,42.25388018,1,8.02E-11,-4.428561338,1.33E-08
Potri.012G098400,42.10231443,1,8.66E-11,-1.609789388,1.42E-08
Potri.003G204300,41.93911903,1,9.42E-11,1.284724985,1.54E-08
Potri.009G042600,41.4680655,1,1.20E-10,3.305711893,1.95E-08
Potri.005G232700,41.45620657,1,1.21E-10,-1.004231061,1.95E-08
Potri.016G041600,41.39963843,1,1.24E-10,-2.056779295,1.99E-08
Potri.006G167200,41.25330501,1,1.34E-10,1.886378701,2.14E-08
Potri.007G018400,41.20320465,1,1.37E-10,-2.603410708,2.17E-08
Potri.005G192100,41.20038367,1,1.37E-10,-3.600563107,2.17E-08
Potri.001G167700,40.99615686,1,1.53E-10,-4.346303785,2.40E-08
Potri.002G049800,40.97612051,1,1.54E-10,2.08471215,2.41E-08
Potri.001G393800,40.95665869,1,1.56E-10,-3.54581731,2.42E-08
Potri.008G197800,40.36970274,1,2.10E-10,-2.553644188,3.25E-08
Potri.005G241100,40.21674765,1,2.27E-10,-1.713609763,3.49E-08
Potri.014G080000,40.13425226,1,2.37E-10,-1.601606125,3.62E-08
Potri.005G119200,40.12383809,1,2.38E-10,-3.041764068,3.62E-08
Potri.018G006000,40.02387433,1,2.51E-10,-1.892742348,3.79E-08
Potri.010G138600,39.6733676,1,3.00E-10,-2.50610617,4.50E-08
Potri.001G152600,39.66973572,1,3.01E-10,2.733127464,4.50E-08
Potri.016G091100,39.59724318,1,3.12E-10,1.929452574,4.62E-08
Potri.005G053800,39.59651545,1,3.12E-10,-1.777062166,4.62E-08
Potri.009G107600,39.11770766,1,3.99E-10,1.62591718,5.88E-08
Potri.005G034100,38.91406293,1,4.43E-10,-1.161685403,6.49E-08
Potri.006G044600,38.70750145,1,4.92E-10,-1.760643568,7.18E-08
Potri.001G455000,38.54834083,1,5.34E-10,2.645057292,7.75E-08
Potri.003G083900,38.5388227,1,5.37E-10,-1.447540733,7.75E-08
Potri.010G119300,38.51410332,1,5.44E-10,-3.627732685,7.80E-08
Potri.010G113700,38.38303014,1,5.81E-10,1.710028078,8.28E-08
Potri.007G100100,38.38000468,1,5.82E-10,2.849456894,8.28E-08
Potri.005G176100,38.34243484,1,5.94E-10,-3.937261954,8.39E-08
Potri.004G001300,38.1075878,1,6.69E-10,-1.80960858,9.42E-08
Potri.005G129500,38.0277219,1,6.97E-10,2.42874096,9.77E-08
Potri.001G235500,38.01083599,1,7.04E-10,-2.041680925,9.80E-08
Potri.004G079900,37.96280898,1,7.21E-10,-1.576653644,1.00E-07
Potri.001G117800,37.86906484,1,7.57E-10,2.937756477,1.04E-07
Potri.018G118062,37.85073975,1,7.64E-10,-2.826477371,1.05E-07
Potri.019G053300,37.81822326,1,7.77E-10,-3.189167112,1.06E-07
Potri.013G152300,37.71149365,1,8.20E-10,-2.00247146,1.12E-07
Potri.010G221600,37.67581344,1,8.35E-10,1.422255914,1.13E-07
Potri.015G062900,37.61751924,1,8.61E-10,2.379390155,1.16E-07
Potri.007G007600,37.53417132,1,8.98E-10,-2.895188599,1.20E-07
Potri.010G084100,37.28986964,1,1.02E-09,-1.89208182,1.36E-07
Potri.004G135200,37.28491622,1,1.02E-09,-2.403276108,1.36E-07
Potri.001G297500,37.21559539,1,1.06E-09,-2.066199471,1.40E-07
Potri.004G033500,37.08471647,1,1.13E-09,-1.631432431,1.48E-07
Potri.006G121801,37.08465579,1,1.13E-09,1.486108801,1.48E-07
Potri.010G067100,36.85840636,1,1.27E-09,-3.210365284,1.65E-07
Potri.008G015700,36.85293501,1,1.27E-09,-2.752330366,1.65E-07
Potri.009G086800,36.77032437,1,1.33E-09,-81.81877411,1.72E-07
Potri.011G026900,36.73954672,1,1.35E-09,6.214651898,1.74E-07
Potri.006G219500,36.5279572,1,1.50E-09,-1.810001198,1.93E-07
Potri.010G145900,36.40888265,1,1.60E-09,-2.315059251,2.03E-07
Potri.002G133300,36.40353954,1,1.60E-09,-1.478156757,2.03E-07
Potri.004G002700,36.38448306,1,1.62E-09,1.442917979,2.05E-07
Potri.010G102300,36.35743707,1,1.64E-09,1.655899552,2.06E-07
Potri.012G140800,36.23905239,1,1.75E-09,2.073124569,2.18E-07
Potri.008G126800,36.19921082,1,1.78E-09,-1.435295818,2.21E-07
Potri.004G138000,36.19868094,1,1.78E-09,2.68934871,2.21E-07
Potri.001G087701,36.08682154,1,1.89E-09,-2.440723945,2.33E-07
Potri.001G141500,36.07004858,1,1.90E-09,-1.626968769,2.34E-07
Potri.003G032800,35.89381432,1,2.08E-09,-2.10279535,2.55E-07
Potri.017G152800,35.68285632,1,2.32E-09,-2.490185263,2.83E-07
Potri.010G153100,35.63111504,1,2.38E-09,-1.523990775,2.89E-07
Potri.010G086700,35.55653586,1,2.48E-09,-1.700382021,2.99E-07
Potri.008G067100,35.55237285,1,2.48E-09,-2.518720925,2.99E-07
Potri.003G018800,35.48506308,1,2.57E-09,-1.824177711,3.08E-07
Potri.003G146900,35.38770372,1,2.70E-09,0.866119477,3.22E-07
Potri.006G052200,35.31199305,1,2.81E-09,-3.37123264,3.32E-07
Potri.008G061800,35.30899548,1,2.81E-09,-1.948412787,3.32E-07
Potri.004G190900,35.30538413,1,2.82E-09,1.056849593,3.32E-07
Potri.006G255000,35.1869528,1,3.00E-09,-1.441691679,3.50E-07
Potri.003G192900,35.18463516,1,3.00E-09,-2.038705367,3.50E-07
Potri.015G018200,34.98119686,1,3.33E-09,-1.808648739,3.87E-07
Potri.002G094100,34.87813882,1,3.51E-09,-1.220719249,4.07E-07
Potri.002G252800,34.83097443,1,3.60E-09,-2.279407962,4.15E-07
Potri.003G114100,34.7971552,1,3.66E-09,2.62639433,4.21E-07
Potri.017G133600,34.73998545,1,3.77E-09,-1.897430227,4.31E-07
Potri.004G133340,34.55389323,1,4.15E-09,4.380187739,4.73E-07
Potri.001G119000,34.50988814,1,4.24E-09,2.319979505,4.82E-07
Potri.013G061800,34.4473101,1,4.38E-09,1.24778565,4.95E-07
Potri.008G067500,34.36520603,1,4.57E-09,-1.866695755,5.15E-07
Potri.002G124600,34.31842611,1,4.68E-09,-2.471835711,5.25E-07
Potri.011G168200,34.20624924,1,4.96E-09,-2.265648729,5.54E-07
Potri.014G056600,34.12629889,1,5.16E-09,-1.656733658,5.75E-07
Potri.003G210200,33.88229487,1,5.85E-09,4.393325988,6.49E-07
Potri.016G000400,33.86089027,1,5.92E-09,-1.50489829,6.54E-07
Potri.005G044900,33.71138759,1,6.39E-09,1.601007639,7.03E-07
Potri.006G198800,33.34912784,1,7.70E-09,-3.411422562,8.44E-07
Potri.001G455800,33.32901587,1,7.78E-09,1.886976632,8.50E-07
Potri.008G098600,33.16929879,1,8.45E-09,-1.05552907,9.19E-07
Potri.008G131800,33.1422556,1,8.57E-09,-1.403957982,9.28E-07
Potri.008G139100,33.07705259,1,8.86E-09,-5.834698335,9.56E-07
Potri.007G127300,32.99253297,1,9.25E-09,-1.994893039,9.95E-07
Potri.010G041100,32.95885751,1,9.41E-09,-1.944007993,1.01E-06
Potri.T042048,32.84958786,1,9.96E-09,2.215177724,1.06E-06
Potri.018G129200,32.84843746,1,9.96E-09,-3.147572737,1.06E-06
Potri.016G113600,32.84712879,1,9.97E-09,-1.252928792,1.06E-06
Potri.001G301900,32.73886011,1,1.05E-08,-3.196326877,1.11E-06
Potri.002G188600,32.71946613,1,1.06E-08,-2.542553616,1.12E-06
Potri.003G067600,32.69907029,1,1.08E-08,-3.12422811,1.13E-06
Potri.015G129100,32.63320068,1,1.11E-08,2.797699779,1.16E-06
Potri.005G200100,32.60972581,1,1.13E-08,-1.463712452,1.17E-06
Potri.012G085000,32.5912815,1,1.14E-08,-3.024389888,1.18E-06
Potri.009G108900,32.50800459,1,1.19E-08,-2.376533632,1.23E-06
Potri.009G095800,32.46946778,1,1.21E-08,1.058232034,1.25E-06
Potri.007G107300,32.4086124,1,1.25E-08,-2.393438377,1.28E-06
Potri.001G009100,32.39899828,1,1.26E-08,2.241454474,1.28E-06
Potri.010G213200,32.38748913,1,1.26E-08,-1.505523912,1.28E-06
Potri.T045500,32.34176055,1,1.29E-08,3.923244408,1.31E-06
Potri.002G223100,32.27743856,1,1.34E-08,-1.496073738,1.35E-06
Potri.011G003300,32.26240628,1,1.35E-08,1.289276319,1.36E-06
Potri.005G113600,32.20711658,1,1.39E-08,-1.234689405,1.39E-06
Potri.004G220300,32.16478277,1,1.42E-08,-2.97055379,1.42E-06
Potri.005G032400,32.14342595,1,1.43E-08,-4.20896709,1.43E-06
Potri.004G148300,32.07663794,1,1.48E-08,-2.989673962,1.47E-06
Potri.008G128800,32.03519654,1,1.51E-08,1.465866429,1.49E-06
Potri.017G094100,32.03189237,1,1.52E-08,-3.378635286,1.49E-06
Potri.014G013800,32.00287632,1,1.54E-08,-4.007563925,1.51E-06
Potri.018G090300,31.96448504,1,1.57E-08,1.377643216,1.54E-06
Potri.009G137400,31.95209363,1,1.58E-08,-1.665259559,1.54E-06
Potri.010G043800,31.93968532,1,1.59E-08,-2.171133197,1.55E-06
Potri.003G162100,31.89715779,1,1.63E-08,1.980493539,1.57E-06
Potri.013G148700,31.89331579,1,1.63E-08,2.457856268,1.57E-06
Potri.001G154300,31.82092647,1,1.69E-08,-1.89589183,1.63E-06
Potri.015G035000,31.75836267,1,1.75E-08,-1.183429977,1.67E-06
Potri.003G131600,31.73127422,1,1.77E-08,-0.882953198,1.69E-06
Potri.001G148700,31.71709029,1,1.78E-08,3.525740995,1.70E-06
Potri.006G106500,31.52923214,1,1.96E-08,-1.967440764,1.86E-06
Potri.004G156000,31.51836544,1,1.98E-08,-1.907638673,1.87E-06
Potri.016G024700,31.43725428,1,2.06E-08,-1.021041595,1.94E-06
Potri.009G013300,31.41206165,1,2.09E-08,-2.021715763,1.96E-06
Potri.002G182500,31.3734827,1,2.13E-08,-2.166009052,1.99E-06
Potri.011G091900,31.33455509,1,2.17E-08,-1.617624055,2.03E-06
Potri.001G160100,31.31177297,1,2.20E-08,-1.693591113,2.04E-06
Potri.011G025400,31.28221497,1,2.23E-08,4.563205123,2.07E-06
Potri.008G034800,31.2100925,1,2.32E-08,1.431412416,2.13E-06
Potri.014G109900,31.20974479,1,2.32E-08,-2.766951027,2.13E-06
Potri.019G039700,31.19300336,1,2.34E-08,1.19635392,2.15E-06
Potri.018G111200,31.18250231,1,2.35E-08,-2.600511164,2.15E-06
Potri.015G142700,31.17473291,1,2.36E-08,-2.200420693,2.15E-06
Potri.015G086200,31.1028056,1,2.45E-08,-3.044241197,2.23E-06
Potri.001G146200,31.02540334,1,2.55E-08,-1.216486116,2.31E-06
Potri.017G129900,31.00935029,1,2.57E-08,-1.031366018,2.32E-06
Potri.016G066700,30.92357494,1,2.68E-08,-3.939193787,2.42E-06
Potri.006G186200,30.86751341,1,2.76E-08,1.647181418,2.48E-06
Potri.018G102400,30.78214329,1,2.89E-08,-1.810384706,2.58E-06
Potri.005G249700,30.66511482,1,3.07E-08,1.56052668,2.74E-06
Potri.016G054700,30.61072737,1,3.15E-08,-2.757999326,2.80E-06
Potri.008G066000,30.57384276,1,3.21E-08,-2.355551706,2.85E-06
Potri.006G072400,30.52221792,1,3.30E-08,-3.635464849,2.92E-06
Potri.003G075700,30.48258672,1,3.37E-08,-2.065079627,2.96E-06
Potri.008G074800,30.48088399,1,3.37E-08,2.512967892,2.96E-06
Potri.001G189700,30.38503081,1,3.54E-08,-1.099408602,3.10E-06
Potri.017G107500,30.37142546,1,3.57E-08,1.704309058,3.11E-06
Potri.018G141800,30.37085102,1,3.57E-08,-1.664402156,3.11E-06
Potri.010G187800,30.35279831,1,3.60E-08,-3.144516695,3.12E-06
Potri.006G124800,30.33912496,1,3.63E-08,-1.254516368,3.14E-06
Potri.006G115200,30.19295157,1,3.91E-08,-5.669114147,3.37E-06
Potri.013G106000,30.18978848,1,3.92E-08,1.319065294,3.37E-06
Potri.016G101700,30.1374046,1,4.02E-08,-1.783701118,3.45E-06
Potri.007G096200,30.10385289,1,4.10E-08,-3.524746425,3.50E-06
Potri.001G216000,29.99074267,1,4.34E-08,-2.105168467,3.70E-06
Potri.018G068700,29.97861346,1,4.37E-08,5.629560853,3.71E-06
Potri.005G251800,29.95713032,1,4.42E-08,3.138276678,3.74E-06
Potri.003G056900,29.94640396,1,4.44E-08,-3.626454064,3.75E-06
Potri.014G049100,29.92410755,1,4.49E-08,-1.77525836,3.78E-06
Potri.004G029100,29.88099063,1,4.59E-08,-1.675856961,3.86E-06
Potri.019G053800,29.86977,1,4.62E-08,-1.401827791,3.87E-06
Potri.003G117200,29.84189432,1,4.69E-08,2.975920274,3.91E-06
Potri.005G247700,29.83402721,1,4.71E-08,-4.58342793,3.91E-06
Potri.013G145600,29.83268898,1,4.71E-08,-2.024202733,3.91E-06
Potri.005G011200,29.7155894,1,5.00E-08,1.947889563,4.14E-06
Potri.019G055800,29.67658794,1,5.10E-08,-2.050983566,4.21E-06
Potri.006G105100,29.60201794,1,5.30E-08,-1.516878213,4.36E-06
Potri.016G111000,29.59545383,1,5.32E-08,2.978752252,4.36E-06
Potri.019G129100,29.52346174,1,5.52E-08,-3.675502823,4.52E-06
Potri.005G196700,29.48080484,1,5.65E-08,1.495004515,4.60E-06
Potri.002G119400,29.47534356,1,5.66E-08,-2.147886224,4.60E-06
Potri.001G092900,29.43766927,1,5.77E-08,-4.480936042,4.68E-06
Potri.003G188500,29.43145277,1,5.79E-08,2.596174444,4.68E-06
Potri.012G036300,29.4226985,1,5.82E-08,-1.791079457,4.69E-06
Potri.010G015100,29.4080436,1,5.86E-08,2.330106249,4.71E-06
Potri.004G231200,29.39874869,1,5.89E-08,6.883110965,4.71E-06
Potri.005G146400,29.39572793,1,5.90E-08,-2.92363503,4.71E-06
Potri.017G108800,29.32644055,1,6.12E-08,-1.742028001,4.87E-06
Potri.005G136600,29.15527682,1,6.68E-08,1.892833479,5.31E-06
Potri.017G000300,29.07882576,1,6.95E-08,1.092363742,5.51E-06
Potri.014G088100,28.89876203,1,7.63E-08,-1.642448447,6.02E-06
Potri.014G090300,28.89158595,1,7.65E-08,-3.802101204,6.03E-06
Potri.009G019200,28.88733343,1,7.67E-08,-4.417167225,6.03E-06
Potri.010G080400,28.76323705,1,8.18E-08,4.145245178,6.41E-06
Potri.008G158800,28.67493071,1,8.56E-08,1.744008442,6.69E-06
Potri.001G003800,28.66875463,1,8.59E-08,-2.256556625,6.69E-06
Potri.018G020301,28.66407074,1,8.61E-08,-3.775476987,6.69E-06
Potri.005G111700,28.62646118,1,8.78E-08,-2.166123562,6.80E-06
Potri.003G196000,28.61714341,1,8.82E-08,-3.093923592,6.82E-06
Potri.011G051800,28.53597901,1,9.20E-08,-1.523014895,7.09E-06
Potri.016G047500,28.51745131,1,9.29E-08,2.890665229,7.14E-06
Potri.004G207300,28.45299563,1,9.60E-08,-1.610819679,7.36E-06
Potri.010G212700,28.43586976,1,9.69E-08,-1.880183838,7.40E-06
Potri.013G011800,28.29712174,1,1.04E-07,-102.3983856,7.93E-06
Potri.009G033300,28.29042871,1,1.04E-07,-1.599023883,7.94E-06
Potri.005G186200,28.21909283,1,1.08E-07,-3.908507995,8.19E-06
Potri.008G132900,28.21848541,1,1.08E-07,-1.319106958,8.19E-06
Potri.007G016400,28.20892605,1,1.09E-07,1.368414683,8.21E-06
Potri.018G067300,28.19035314,1,1.10E-07,-1.436317447,8.27E-06
Potri.008G038800,28.17269043,1,1.11E-07,6.136249139,8.32E-06
Potri.018G100166,28.16286309,1,1.12E-07,-3.972231357,8.34E-06
Potri.001G439600,28.07834067,1,1.17E-07,2.121113409,8.69E-06
Potri.009G168600,28.06276914,1,1.17E-07,-1.339488714,8.74E-06
Potri.013G100500,28.04020432,1,1.19E-07,3.644245573,8.82E-06
Potri.016G019201,28.01604834,1,1.20E-07,-1.611143543,8.91E-06
