,waldStat,df,pvalue,logFC1_2,FDR
Potri.008G006000,5.793976248,1,0.016081176,-1.597193204,0.115874606
Potri.007G017100,5.792856163,1,0.016091425,0.535015838,0.115915572
Potri.008G119600,5.792459198,1,0.016095059,-3.176806346,0.115915572
Potri.017G086800,5.790537974,1,0.016112658,1.52156989,0.115984737
Potri.017G057100,5.790515413,1,0.016112864,0.289022937,0.115984737
Potri.006G196000,5.789919541,1,0.016118327,0.404760718,0.115994535
Potri.002G088000,5.788871367,1,0.01612794,-0.655541817,0.116034191
Potri.014G088200,5.786615958,1,0.016148646,-1.174925066,0.116153612
Potri.010G236500,5.784965236,1,0.016163818,-0.289871896,0.116233178
Potri.005G012600,5.784045639,1,0.016172276,-0.76407673,0.11626444
Potri.009G150200,5.781727314,1,0.01619362,-1.444785827,0.116327766
Potri.001G185050,5.780965963,1,0.016200636,0.447005705,0.116327766
Potri.017G049200,5.780587593,1,0.016204123,0.991421409,0.116327766
Potri.004G100000,5.780354559,1,0.016206272,0.808792424,0.116327766
Potri.004G071900,5.780090871,1,0.016208703,0.583267064,0.116327766
Potri.014G077000,5.779178245,1,0.016217122,1.827969512,0.116327766
Potri.016G043900,5.779098995,1,0.016217853,0.640148704,0.116327766
Potri.003G212500,5.779092605,1,0.016217912,1.608841423,0.116327766
Potri.015G121700,5.778123943,1,0.016226852,-4.569258907,0.116327766
Potri.014G158700,5.777467321,1,0.016232916,-1.265475944,0.116327766
Potri.005G199000,5.77746108,1,0.016232973,-1.665575131,0.116327766
Potri.006G060900,5.777295456,1,0.016234503,-2.007772365,0.116327766
Potri.001G356400,5.7772898,1,0.016234555,-1.115961714,0.116327766
Potri.018G003100,5.774464196,1,0.016260677,0.812306646,0.116485425
Potri.004G216100,5.77286279,1,0.0162755,-1.49455123,0.116562091
Potri.012G140301,5.770999337,1,0.016292767,-0.524689867,0.116640771
Potri.013G056750,5.770787107,1,0.016294735,-2.340365099,0.116640771
Potri.005G156700,5.770011595,1,0.016301927,0.909021495,0.116662727
Potri.005G033800,5.768688996,1,0.016314201,0.588664148,0.116721028
Potri.014G080800,5.768082123,1,0.016319836,0.50717353,0.116731814
Potri.002G031900,5.765269677,1,0.016345976,1.948085866,0.116884718
Potri.007G058500,5.764456164,1,0.016353545,-1.004207421,0.116884718
Potri.010G129532,5.764449104,1,0.016353611,0.869321634,0.116884718
Potri.012G065500,5.763638124,1,0.016361161,0.451924385,0.116909131
Potri.001G422000,5.761822555,1,0.016378075,-4.822759203,0.117000431
Potri.008G047100,5.7611125,1,0.016384694,0.565942079,0.117018164
Potri.009G048400,5.759908461,1,0.016395926,-5.645242061,0.117068816
Potri.010G207900,5.758458504,1,0.016409462,0.53996967,0.117109934
Potri.001G324700,5.758404517,1,0.016409966,0.628467934,0.117109934
Potri.008G204200,5.755174298,1,0.016440165,0.584027023,0.117295846
Potri.003G166300,5.754286179,1,0.016448477,0.604436952,0.117321884
Potri.005G158600,5.753898153,1,0.016452111,-3.436353322,0.117321884
Potri.008G068300,5.75236282,1,0.016466495,-252.5596836,0.117380886
Potri.017G130300,5.752129128,1,0.016468685,1.488068637,0.117380886
Potri.005G069900,5.751397013,1,0.01647555,2.064325323,0.117400226
Potri.012G004400,5.746676968,1,0.016519877,0.704896156,0.117686439
Potri.010G005400,5.741394003,1,0.016569637,-1.765178962,0.118001039
Potri.002G205400,5.741102957,1,0.016572383,-1.586228245,0.118001039
Potri.009G076500,5.739396075,1,0.016588495,-2.12432562,0.118059484
Potri.010G032301,5.739349044,1,0.01658894,-0.429836956,0.118059484
Potri.013G040700,5.736207673,1,0.016618637,0.976691921,0.118241077
Potri.001G416400,5.735713392,1,0.016623314,-1.858083068,0.118244612
Potri.014G130700,5.732854514,1,0.016650396,0.428735051,0.118407471
Potri.012G101500,5.730768493,1,0.016670186,1.478657301,0.118518401
Potri.008G088600,5.728577249,1,0.016691,-0.885024376,0.118636557
Potri.009G050200,5.724356427,1,0.016731168,0.591796082,0.118892182
Potri.010G207200,5.721280527,1,0.016760502,-0.840979993,0.119070718
Potri.011G137200,5.720510054,1,0.016767859,1.312262972,0.119093064
Potri.006G241600,5.719909828,1,0.016773592,0.774253137,0.119103873
Potri.001G240100,5.718109506,1,0.0167908,-0.777269469,0.119181054
Potri.002G228900,5.717817744,1,0.01679359,-0.752874241,0.119181054
Potri.010G092300,5.7174505,1,0.016797104,1.233523563,0.119181054
Potri.006G096100,5.715930455,1,0.016811652,0.399609121,0.119254365
Potri.002G231800,5.71400488,1,0.016830101,-1.026121828,0.119355298
Potri.006G095400,5.711377414,1,0.016855309,-1.043909125,0.119504099
Potri.012G106100,5.710497712,1,0.016863758,0.669051186,0.119534033
Potri.002G175800,5.708338908,1,0.016884509,0.582929789,0.119640521
Potri.017G144700,5.707807661,1,0.016889619,1.027154045,0.119640521
Potri.014G095800,5.707365275,1,0.016893876,-2.568428445,0.119640521
Potri.011G120100,5.707175588,1,0.016895702,0.862261396,0.119640521
Potri.018G030700,5.704781176,1,0.016918764,-0.266142219,0.119773841
Potri.T044700,5.703477034,1,0.016931339,0.395210279,0.119826507
Potri.001G303000,5.703131001,1,0.016934677,-5.855581491,0.119826507
Potri.003G058400,5.701060933,1,0.016954661,-1.198280892,0.11992351
Potri.002G087200,5.700832616,1,0.016956867,-0.626591497,0.11992351
Potri.019G074700,5.699372763,1,0.016970977,-1.559421986,0.119993291
Potri.007G057600,5.697157086,1,0.016992415,-0.441191811,0.120104822
Potri.016G023340,5.696864851,1,0.016995244,-1.515285395,0.120104822
Potri.012G125500,5.696151424,1,0.017002154,-0.930229024,0.120123639
Potri.006G075900,5.695280279,1,0.017010596,1.150952328,0.120153264
Potri.018G016000,5.690730809,1,0.017054751,-2.134623797,0.120435071
Potri.012G004000,5.690209517,1,0.017059818,-1.442709651,0.120440779
Potri.014G097700,5.688612757,1,0.017075348,-1.630877278,0.120520336
Potri.001G366000,5.688133274,1,0.017080014,-0.562110417,0.120523194
Potri.001G344400,5.687639223,1,0.017084824,-0.278656372,0.120527059
Potri.004G005500,5.686725033,1,0.017093727,0.634386207,0.120559795
Potri.005G037300,5.685998131,1,0.017100809,1.292755536,0.120579678
Potri.001G264100,5.685186067,1,0.017108725,0.334352417,0.120596726
Potri.010G086400,5.684873407,1,0.017111774,-0.728014746,0.120596726
Potri.007G023700,5.684369276,1,0.017116691,-1.103107035,0.120596726
Potri.008G036900,5.684001055,1,0.017120283,1.154900548,0.120596726
Potri.004G101600,5.681755564,1,0.017142207,1.740352402,0.120714065
Potri.004G132200,5.681420848,1,0.017145478,-2.809922765,0.120714065
Potri.005G167900,5.679077884,1,0.017168389,-0.782443373,0.12080024
